BO_PKG_NAME,TP UNV NAME,CUID
BO_E_SASN_R17A_b72.zip,TP Ericsson SASN PM,AYs5Xmjn.aJBlVP.MCvlcEo
BO_E_SASN_SARA_R4A_b7.zip,TP Ericsson SASN SARA PM,AUaICuQJ5zlHn_jRza223TY
BO_E_SCEF_R3A_b4.zip,TP Ericsson SCEF TechPack PM,AeotJOdhjK5Lv42CiMA3S90
BO_E_SC_R2A_b2.zip,TP ERICSSON SC PM,AeSbuWcBYihKtigp9zg5KzM
BO_E_SDNCP_R1B_b2.zip,TP Ericsson SDNCP PM,AWTDBVQMCPpIpzudbuWQLFk
BO_E_SGSNMME_R18A_b77.zip,TP Ericsson SGSN MME PM,Abq9bcZkkoZNpKYtsxBbmgY
BO_E_SGSN_R23A_b213.zip,TP Ericsson SGSN PM,Adu9fu9yM8RHmbiMYbLPuzU
BO_E_SMPC_R8A_b39.zip,TP Ericsson SMPC PM,AUjZeiH36D1PjV1bXxMUOh4
BO_E_SNMP_R10A_b24.zip,TP SNMP MIB II PM,AQODP9NhDvxCquM4W_R._.o
BO_E_SOEM_MBH_R15A_b62.zip,TP Ericsson SOEM MBH PM,AaU5si7MxXBMqcKfDc8GnMg
BO_E_SPITFIRE_R1C_b4.zip,TP Ericsson SPITFIRE PM,AfAw6k0PuipKhJYYgCwFpMc
BO_E_STN_R14B_b37.zip,TP Ericsson STN PM,ARs4CPr0_d9EkdvdjYD1jYM
BO_E_TCU_R18A_b93.zip,TP Ericsson TCU PM,AYuKMnhDM1xDrwcYK65u7fg
BO_E_TSS_TGC_R1D_b37.zip,TP Ericsson TSS TGC PM,AT1ya4E4OORDp1NE4LNrg8I
BO_E_TSSAXD_R1C_b121.zip,TP Ericsson TSS AXD PM,Aa_PfBjeltxPibEufTVToyw
BO_E_TSSAXE_R6A_b80.zip,TP Ericsson TSS AXE PM,AcBeehHlVe1EsCUAAYy2rYA
BO_E_WCG_R4A_b13.zip,TP Ericsson WCG PM,AWv0fnEWlgBMtPnNqqT8tIw
BO_E_WIFI_R3A_b4.zip,TP Ericsson WIFI PM,AXpBoYGlPZ1MlPANItqhOUY
BO_E_WLE_R16A_b65.zip,TP Ericsson WRAN Load Expert PM,AZBODtQzuaZFlLwLTpOdBLg
BO_E_WMG_R11A_b39.zip,TP Ericsson WMG PM,AbO.AT8ybCVHvMADaehWE20
BO_E_UDM_R2A_b5.zip,TP Ericsson UDM PM,ASkJdULPFEdHnPfQINqmEm0
BO_E_UPG_R60A_b90.zip,TP Ericsson UPG Techpack PM,ASrfBNB52TlHtY3xj8b7qws
BO_J_JUNOS_R6A_b7.zip,TP Juniper PM,AfgNGQx_odZGrUEBHPwQq9o
BO_X_HWUTIL_R1F_b52.zip,TP Ericsson HWUTIL PM,AcVWiVFKTJ1FkKUM6nRrg5o
BO_Z_ALARM_R10A_b52.zip,TP PM Alarm EVENT,AZvYVBFPpkFGo0_OkHJJUxo
















































